iter	Passed	Remaining
0	0	367
1	0	362
2	2	866
3	2	707
4	3	612
5	3	547
6	3	502
7	3	473
8	4	446
9	4	426
10	4	409
11	4	398
12	5	395
13	5	387
14	5	379
15	6	372
16	6	367
17	6	359
18	6	356
19	7	351
20	7	345
21	7	339
22	7	334
23	8	329
24	8	325
25	8	321
26	8	320
27	9	317
28	9	315
29	9	312
30	10	316
31	10	315
32	10	313
33	10	309
34	11	307
35	11	307
36	11	306
37	12	304
38	12	302
39	12	300
40	12	298
41	13	297
42	13	295
43	13	294
44	13	292
45	14	290
46	14	289
47	14	287
48	14	286
49	15	285
50	15	283
51	15	282
52	15	280
53	15	279
54	16	278
55	16	278
56	16	276
57	16	275
58	17	274
59	17	272
60	17	271
61	17	269
62	18	270
63	18	269
64	18	269
65	18	268
66	19	267
67	19	266
68	19	265
69	19	264
70	20	263
71	20	263
72	20	262
73	20	261
74	21	260
75	21	260
76	21	259
77	21	258
78	22	257
79	22	256
80	22	256
81	22	255
82	22	253
83	23	252
84	23	251
85	23	251
86	23	250
87	24	250
88	24	249
89	24	249
90	24	248
91	25	248
92	25	249
93	25	249
94	26	249
95	26	248
96	26	247
97	26	246
98	27	246
99	27	246
100	27	245
101	27	244
102	28	244
103	28	243
104	28	243
105	28	242
106	29	242
107	29	241
108	29	241
109	29	240
110	29	239
111	30	239
112	30	238
113	30	237
114	30	237
115	31	236
116	31	235
117	31	235
118	31	235
119	31	234
120	32	234
121	32	233
122	32	232
123	32	232
124	33	231
125	33	231
126	33	230
127	33	229
128	33	229
129	34	229
130	34	228
131	34	228
132	34	227
133	35	227
134	35	227
135	35	226
136	36	226
137	36	226
138	36	226
139	36	225
140	37	225
141	37	224
142	37	223
143	37	223
144	37	223
145	38	222
146	38	222
147	38	222
148	38	221
149	39	221
150	39	221
151	39	221
152	39	220
153	40	220
154	40	220
155	40	219
156	40	219
157	41	219
158	41	219
159	41	219
160	41	218
161	42	217
162	42	217
163	42	217
164	42	216
165	43	216
166	43	215
167	43	215
168	43	215
169	44	215
170	44	214
171	44	214
172	44	214
173	45	213
174	45	213
175	45	213
176	45	212
177	45	212
178	46	211
179	46	211
180	46	211
181	46	210
182	47	210
183	47	210
184	47	209
185	47	209
186	48	209
187	48	208
188	48	208
189	48	208
190	49	207
191	49	207
192	49	207
193	49	206
194	50	206
195	50	206
196	50	205
197	50	205
198	50	205
199	51	204
200	51	204
201	51	204
202	52	204
203	52	204
204	52	203
205	52	203
206	53	203
207	53	202
208	53	202
209	53	202
210	54	201
211	54	201
212	54	201
213	54	201
214	54	200
215	55	200
216	55	200
217	55	199
218	55	199
219	56	199
220	56	198
221	56	198
222	56	198
223	57	198
224	57	197
225	57	197
226	57	197
227	58	197
228	58	196
229	58	196
230	58	196
231	59	195
232	59	195
233	59	195
234	59	195
235	60	194
236	60	194
237	60	194
238	60	193
239	61	193
240	61	193
241	61	193
242	61	193
243	62	192
244	62	192
245	62	192
246	62	191
247	63	191
248	63	191
249	63	190
250	63	190
251	64	190
252	64	189
253	64	190
254	65	190
255	65	190
256	65	190
257	66	190
258	66	189
259	66	189
260	66	189
261	67	189
262	67	188
263	67	188
264	67	188
265	68	187
266	68	187
267	68	187
268	68	186
269	69	186
270	69	186
271	69	185
272	69	185
273	69	185
274	70	184
275	70	184
276	70	184
277	70	183
278	71	183
279	71	183
280	71	183
281	71	182
282	72	182
283	72	182
284	72	182
285	73	182
286	73	182
287	73	182
288	73	181
289	74	181
290	74	181
291	74	181
292	75	180
293	75	180
294	75	180
295	75	180
296	76	180
297	76	180
298	76	180
299	77	180
300	77	180
301	77	180
302	78	180
303	78	180
304	79	180
305	79	180
306	79	180
307	80	180
308	80	180
309	80	180
310	81	180
311	81	179
312	81	179
313	82	179
314	82	179
315	82	179
316	83	179
317	83	179
318	83	178
319	84	178
320	84	178
321	84	177
322	84	177
323	85	177
324	85	177
325	85	177
326	86	177
327	86	177
328	86	177
329	87	177
330	87	176
331	87	176
332	88	176
333	88	176
334	88	175
335	88	175
336	89	175
337	89	175
338	89	175
339	90	174
340	90	174
341	90	174
342	91	174
343	91	174
344	91	174
345	91	173
346	92	173
347	92	173
348	92	173
349	93	173
350	93	172
351	93	172
352	94	172
353	94	172
354	94	171
355	94	171
356	95	171
357	95	171
358	96	171
359	96	171
360	96	171
361	97	171
362	97	171
363	97	170
364	97	170
365	98	170
366	98	169
367	98	169
368	98	169
369	99	168
370	99	168
371	99	168
372	99	168
373	100	167
374	100	167
375	100	167
376	100	166
377	101	166
378	101	166
379	101	166
380	102	165
381	102	165
382	102	165
383	103	165
384	103	165
385	103	165
386	104	164
387	104	164
388	104	164
389	104	164
390	105	163
391	105	163
392	105	163
393	105	162
394	106	162
395	106	162
396	106	162
397	106	161
398	107	161
399	107	161
400	107	161
401	108	160
402	108	160
403	108	160
404	108	160
405	109	159
406	109	159
407	109	159
408	110	159
409	110	158
410	110	158
411	111	158
412	111	158
413	111	158
414	112	157
415	112	157
416	112	157
417	112	157
418	113	156
419	113	156
420	113	156
421	113	155
422	114	155
423	114	155
424	114	155
425	114	154
426	115	154
427	115	154
428	115	153
429	115	153
430	116	153
431	116	153
432	116	152
433	116	152
434	117	152
435	117	151
436	117	151
437	118	151
438	118	151
439	118	151
440	119	151
441	119	150
442	119	150
443	120	150
444	120	150
445	120	149
446	121	149
447	121	149
448	121	149
449	121	148
450	122	148
451	122	148
452	122	148
453	122	147
454	123	147
455	123	147
456	123	146
457	123	146
458	124	146
459	124	145
460	124	145
461	124	145
462	125	144
463	125	144
464	125	144
465	125	144
466	125	143
467	126	143
468	126	143
469	126	142
470	126	142
471	127	142
472	127	141
473	127	141
474	127	141
475	128	140
476	128	140
477	128	140
478	128	140
479	128	139
480	129	139
481	129	139
482	129	138
483	129	138
484	130	138
485	130	137
486	130	137
487	130	137
488	131	137
489	131	136
490	131	136
491	131	136
492	132	135
493	132	135
494	132	135
495	132	135
496	133	134
497	133	134
498	133	134
499	134	134
500	134	133
501	134	133
502	134	133
503	135	133
504	135	132
505	135	132
506	135	132
507	136	131
508	136	131
509	136	131
510	137	131
511	137	130
512	137	130
513	137	130
514	138	130
515	138	129
516	138	129
517	138	129
518	138	128
519	139	128
520	139	128
521	139	127
522	139	127
523	140	127
524	140	127
525	140	126
526	141	126
527	141	126
528	141	126
529	141	125
530	142	125
531	142	125
532	142	124
533	142	124
534	143	124
535	143	124
536	143	123
537	143	123
538	143	123
539	144	122
540	144	122
541	144	122
542	144	121
543	145	121
544	145	121
545	145	121
546	145	120
547	146	120
548	146	120
549	146	119
550	146	119
551	147	119
552	147	119
553	147	118
554	147	118
555	148	118
556	148	118
557	148	117
558	148	117
559	149	117
560	149	116
561	149	116
562	150	116
563	150	116
564	150	115
565	150	115
566	150	115
567	151	115
568	151	114
569	151	114
570	151	114
571	152	113
572	152	113
573	152	113
574	152	113
575	153	112
576	153	112
577	153	112
578	153	111
579	154	111
580	154	111
581	154	111
582	154	110
583	155	110
584	155	110
585	155	109
586	156	109
587	156	109
588	156	109
589	156	108
590	157	108
591	157	108
592	157	108
593	157	107
594	157	107
595	158	107
596	158	106
597	158	106
598	158	106
599	159	106
600	159	105
601	159	105
602	159	105
603	159	104
604	160	104
605	160	104
606	160	104
607	160	103
608	161	103
609	161	103
610	161	102
611	161	102
612	162	102
613	162	102
614	162	101
615	162	101
616	163	101
617	163	100
618	163	100
619	163	100
620	164	100
621	164	99
622	164	99
623	164	99
624	165	99
625	165	98
626	165	98
627	165	98
628	166	98
629	166	97
630	166	97
631	166	97
632	167	96
633	167	96
634	167	96
635	167	96
636	168	95
637	168	95
638	168	95
639	168	94
640	169	94
641	169	94
642	169	94
643	169	93
644	169	93
645	170	93
646	170	93
647	170	92
648	170	92
649	171	92
650	171	91
651	171	91
652	171	91
653	172	91
654	172	90
655	172	90
656	172	90
657	173	89
658	173	89
659	173	89
660	173	89
661	174	88
662	174	88
663	174	88
664	174	88
665	175	87
666	175	87
667	175	87
668	175	86
669	176	86
670	176	86
671	176	86
672	176	85
673	177	85
674	177	85
675	177	85
676	177	84
677	177	84
678	178	84
679	178	83
680	178	83
681	179	83
682	179	83
683	179	82
684	179	82
685	179	82
686	180	82
687	180	81
688	180	81
689	180	81
690	181	81
691	181	80
692	181	80
693	182	80
694	182	80
695	182	79
696	182	79
697	183	79
698	183	78
699	183	78
700	183	78
701	184	78
702	184	77
703	184	77
704	184	77
705	185	77
706	185	76
707	185	76
708	185	76
709	185	75
710	186	75
711	186	75
712	186	75
713	186	74
714	187	74
715	187	74
716	187	74
717	187	73
718	188	73
719	188	73
720	188	72
721	188	72
722	189	72
723	189	72
724	189	71
725	189	71
726	190	71
727	190	71
728	190	70
729	191	70
730	191	70
731	191	70
732	191	69
733	192	69
734	192	69
735	192	69
736	192	68
737	192	68
738	193	68
739	193	67
740	193	67
741	193	67
742	194	67
743	194	66
744	194	66
745	194	66
746	195	66
747	195	65
748	195	65
749	195	65
750	196	65
751	196	64
752	197	64
753	197	64
754	197	64
755	197	63
756	197	63
757	198	63
758	198	62
759	198	62
760	198	62
761	199	62
762	199	61
763	199	61
764	199	61
765	200	61
766	200	60
767	200	60
768	200	60
769	201	60
770	201	59
771	201	59
772	201	59
773	202	58
774	202	58
775	202	58
776	202	58
777	203	57
778	203	57
779	203	57
780	203	57
781	204	56
782	204	56
783	204	56
784	204	56
785	204	55
